Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1635766200000,62123.29000000,62155.54000000,61812.38000000,61924.15000000,2.97734800,1635767099999,184384.06147925,152,2.44224900,151230.18167687,0
1635767100000,61940.72000000,62046.07000000,61796.92000000,61812.60000000,1.70658300,1635767999999,105634.38826578,90,1.18006200,73032.43777718,0
1635768000000,61879.55000000,62182.15000000,61800.41000000,62118.61000000,14.30764000,1635768899999,887098.46901780,381,4.96878100,308022.59357267,0
1635768900000,62027.24000000,62027.24000000,61735.12000000,61882.39000000,6.91628300,1635769799999,427517.31985565,174,3.04534400,188256.55427541,0
1635769800000,61858.72000000,61897.97000000,61759.28000000,61827.33000000,0.77125700,1635770699999,47689.79343798,52,0.44718200,27656.87147281,0
1635770700000,61830.42000000,61994.34000000,61626.51000000,61861.38000000,5.30868300,1635771599999,328041.03629067,224,2.33128200,144128.40027781,0
1635771600000,61879.25000000,61879.25000000,61724.42000000,61782.37000000,1.05842900,1635772499999,65386.90545856,57,0.58553900,36169.32081507,0
1635772500000,61810.52000000,61816.91000000,61718.72000000,61816.91000000,0.58461400,1635773399999,36115.84490189,25,0.36886800,22788.04106786,0
1635773400000,61841.59000000,62000.00000000,61779.57000000,61884.50000000,1.37993100,1635774299999,85348.80190551,80,0.48686900,30120.37640532,0
1635774300000,61915.28000000,62050.33000000,61827.67000000,61938.03000000,3.19458700,1635775199999,197893.68873602,147,2.08473100,129144.85711828,0
1635775200000,61962.32000000,62009.90000000,61717.93000000,61768.75000000,3.74758200,1635776099999,231562.61123606,96,1.98892200,122976.98296439,0
1635776100000,61771.39000000,61842.99000000,61718.62000000,61720.57000000,1.06498000,1635776999999,65778.24424716,59,0.73727900,45532.02280902,0
1635777000000,61705.64000000,61708.32000000,61654.88000000,61684.22000000,1.15008000,1635777899999,70940.87274259,63,0.75577200,46617.22020972,0
1635777900000,61706.41000000,61741.06000000,61313.81000000,61421.88000000,3.76313300,1635778799999,231630.10788038,357,2.07765700,127937.21811046,0
