Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1635778800000,4335.63000000,4338.38000000,4326.08000000,4336.49000000,16.10408000,1635779699999,69738.45926050,46,5.52180000,23918.82813860,0
1635779700000,4338.09000000,4350.25000000,4336.05000000,4338.14000000,39.50076000,1635780599999,171522.67002780,71,37.76589000,163995.71198710,0
1635780600000,4349.65000000,4352.29000000,4346.45000000,4346.95000000,10.53251000,1635781499999,45800.84971460,48,4.26168000,18538.90585130,0
1635781500000,4347.18000000,4347.18000000,4331.81000000,4340.37000000,8.61159000,1635782399999,37356.69923570,35,6.68741000,29016.06216770,0
1635782400000,4349.61000000,4354.07000000,4334.19000000,4336.26000000,22.15917000,1635783299999,96220.92086270,79,15.86335000,68897.31076820,0
1635783300000,4339.72000000,4354.67000000,4338.72000000,4340.14000000,9.51171000,1635784199999,41322.21418390,34,7.41392000,32212.28739610,0
1635784200000,4345.15000000,4345.15000000,4317.87000000,4325.40000000,60.25295000,1635785099999,260901.00936770,156,31.01766000,134141.52032840,0
1635785100000,4323.58000000,4325.59000000,4294.89000000,4297.22000000,75.61110000,1635785999999,325812.79746030,300,46.36543000,199809.38947020,0
1635786000000,4297.73000000,4302.90000000,4270.91000000,4274.33000000,35.10705000,1635786899999,150454.38162030,396,14.36518000,61595.18892460,0
1635786900000,4275.87000000,4293.16000000,4275.87000000,4283.81000000,16.24044000,1635787799999,69639.34881740,56,8.79811000,37733.90517890,0
1635787800000,4283.11000000,4294.92000000,4278.37000000,4287.45000000,13.94386000,1635788699999,59808.12107500,48,11.92081000,51127.20846480,0
1635788700000,4287.45000000,4294.78000000,4280.67000000,4283.98000000,11.94576000,1635789599999,51196.87899510,38,3.63253000,15577.77962940,0
1635789600000,4280.73000000,4290.23000000,4265.42000000,4286.18000000,33.17729000,1635790499999,141891.79511940,162,13.89829000,59444.59817110,0
1635790500000,4289.63000000,4289.63000000,4276.95000000,4281.97000000,14.44800000,1635791399999,61831.19806080,46,7.11265000,30441.21062990,0
1635791400000,4282.56000000,4302.61000000,4276.66000000,4301.50000000,24.49187000,1635792299999,104936.92617100,88,17.63416000,75564.40578330,0
1635792300000,4302.28000000,4302.36000000,4292.33000000,4296.18000000,27.66757000,1635793199999,118922.45677250,44,17.45026000,75012.39460980,0
1635793200000,4292.11000000,4338.38000000,4280.32000000,4326.02000000,40.64066000,1635794099999,175306.26262680,221,20.14557000,86992.27657280,0
1635794100000,4324.80000000,4348.96000000,4324.80000000,4339.91000000,17.47990000,1635794999999,75801.83420820,117,4.83347000,20972.23731240,0
1635795000000,4338.34000000,4339.38000000,4329.63000000,4333.42000000,14.05688000,1635795899999,60913.50735470,53,4.27777000,18541.85823060,0
1635795900000,4329.63000000,4365.61000000,4329.63000000,4365.61000000,40.73432000,1635796799999,177113.76497750,175,26.77798000,116483.44210400,0
1635796800000,4364.18000000,4364.18000000,4338.38000000,4357.16000000,72.70433000,1635797699999,316246.51758130,208,32.25957000,140344.35727420,0
1635797700000,4352.23000000,4355.64000000,4330.05000000,4330.05000000,37.03585000,1635798599999,160800.20517020,81,7.92914000,34437.55739010,0
1635798600000,4328.00000000,4330.39000000,4315.31000000,4330.39000000,46.89068000,1635799499999,202670.92393240,88,20.15008000,87158.47346450,0
1635799500000,4328.27000000,4328.27000000,4300.21000000,4307.01000000,26.05657000,1635800399999,112334.29107890,103,11.39515000,49093.92719320,0
1635800400000,4309.92000000,4309.95000000,4281.78000000,4287.02000000,22.95322000,1635801299999,98622.31335530,110,7.42031000,31857.62571710,0
1635801300000,4289.91000000,4332.93000000,4289.90000000,4291.52000000,165.03490000,1635802199999,710807.49604810,164,144.57663000,622934.49251860,0
1635802200000,4291.52000000,4301.97000000,4278.23000000,4298.78000000,15.80904000,1635803099999,67780.12128780,77,6.32866000,27129.88717120,0
1635803100000,4300.10000000,4308.98000000,4291.56000000,4297.34000000,14.32882000,1635803999999,61649.19833920,44,6.40203000,27569.02303060,0
1635804000000,4296.32000000,4315.31000000,4295.00000000,4315.30000000,14.87639000,1635804899999,64061.28382300,74,5.80029000,24977.23803040,0
1635804900000,4312.35000000,4322.88000000,4305.44000000,4319.47000000,20.33587000,1635805799999,87760.14866860,70,9.79641000,42292.67628620,0
1635805800000,4316.90000000,4336.84000000,4316.89000000,4335.28000000,65.21538000,1635806699999,282498.38698320,127,45.34767000,196571.12239430,0
1635806700000,4333.90000000,4333.90000000,4305.15000000,4306.32000000,21.18686000,1635807599999,91590.67420400,59,10.36983000,44847.49436850,0
1635807600000,4306.10000000,4325.67000000,4306.10000000,4324.70000000,23.83821000,1635808499999,102837.40876490,62,14.94991000,64430.43400550,0
1635808500000,4324.23000000,4328.28000000,4320.67000000,4322.84000000,5.80729000,1635809399999,25109.52926820,32,3.52854000,15258.15471470,0
1635809400000,4318.56000000,4324.67000000,4312.95000000,4324.67000000,2.63580000,1635810299999,11379.32236820,17,2.08186000,8987.11529340,0
1635810300000,4326.75000000,4334.94000000,4319.95000000,4319.95000000,15.42213000,1635811199999,66721.34574210,86,11.38761000,49270.74164410,0
1635811200000,4318.39000000,4342.10000000,4309.02000000,4342.10000000,27.96271000,1635812099999,121024.99663450,80,17.34056000,75164.34620130,0
1635812100000,4341.09000000,4348.54000000,4335.81000000,4340.91000000,5.79779000,1635812999999,25190.01629020,51,3.15022000,13686.47788850,0
1635813000000,4339.78000000,4339.78000000,4285.31000000,4285.31000000,28.86614000,1635813899999,124488.17570570,178,5.48295000,23598.00452110,0
1635813900000,4285.10000000,4311.75000000,4285.10000000,4311.75000000,38.43769000,1635814799999,165122.19024060,84,25.15329000,108019.04054600,0
1635814800000,4311.53000000,4318.18000000,4297.99000000,4316.96000000,83.42308000,1635815699999,359049.89396640,114,73.75008000,317386.23778070,0
1635815700000,4316.96000000,4343.84000000,4313.88000000,4329.91000000,72.36045000,1635816599999,313419.72989630,258,42.03375000,182072.96811460,0
1635816600000,4330.25000000,4330.41000000,4314.24000000,4314.24000000,25.60423000,1635817499999,110762.13648130,84,7.90983000,34223.61740480,0
1635817500000,4314.22000000,4325.72000000,4309.75000000,4323.09000000,23.10450000,1635818399999,99782.03384540,68,14.27586000,61677.50227180,0
1635818400000,4324.27000000,4329.27000000,4313.13000000,4313.13000000,38.86866000,1635819299999,168059.28112840,94,22.03885000,95271.86973990,0
1635819300000,4314.22000000,4324.97000000,4311.62000000,4315.21000000,21.54981000,1635820199999,93016.70659350,83,11.77724000,50825.27128860,0
1635820200000,4312.71000000,4316.05000000,4305.82000000,4308.31000000,9.25097000,1635821099999,39876.89844460,31,2.25132000,9710.31560910,0
1635821100000,4305.59000000,4310.60000000,4302.75000000,4308.74000000,23.27331000,1635821999999,100242.14636870,61,5.62306000,24228.12387990,0
1635822000000,4302.94000000,4312.95000000,4300.40000000,4312.95000000,22.47565000,1635822899999,96850.93242810,77,13.96144000,60174.68142840,0
1635822900000,4307.97000000,4313.02000000,4306.04000000,4308.07000000,13.11060000,1635823799999,56479.68012410,24,6.72492000,28975.59620720,0
1635823800000,4308.86000000,4316.35000000,4307.22000000,4314.70000000,5.70993000,1635824699999,24621.82108200,25,4.48033000,19320.19052300,0
1635824700000,4314.94000000,4322.13000000,4314.94000000,4321.33000000,12.83680000,1635825599999,55415.28766550,50,7.08618000,30595.61488830,0
